확장 대상 192개사, 최근 [2024, 2025] 개년만
  30121 자동차 제조업(완성차): 2개사
  303 자동차 부품 제조업: 91개사
  212 완제 의약품 제조업: 99개사
[적재] 모트렉스 FY2025: KAM 섹션 568자
[적재] 삼기 FY2024: KAM 섹션 721자
[적재] 삼기 FY2025: KAM 섹션 732자
[적재] 삼기에너지솔루션즈 FY2024: KAM 섹션 968자
[적재] 삼기에너지솔루션즈 FY2025: KAM 섹션 950자
[적재] 삼보모터스 FY2024: KAM 섹션 481자
[적재] 삼보모터스 FY2025: KAM 섹션 524자
[적재] 삼원강재 FY2024: KAM 섹션 1107자
[적재] 삼원강재 FY2025: KAM 섹션 1510자
[적재] 삼현 FY2024: KAM 섹션 655자
[적재] 삼현 FY2025: KAM 섹션 663자
[적재] 상신브레이크 FY2024: KAM 섹션 1039자
[적재] 상신브레이크 FY2025: KAM 섹션 1039자
[적재] 새론오토모티브 FY2024: KAM 섹션 794자
[적재] 새론오토모티브 FY2025: KAM 섹션 888자
[적재] 서연이화 FY2024: KAM 섹션 833자
[적재] 서연이화 FY2025: KAM 섹션 833자
[적재] 서진오토모티브 FY2024: KAM 섹션 718자
[적재] 서진오토모티브 FY2025: KAM 섹션 816자
[적재] 성우하이텍 FY2024: KAM 섹션 823자
[적재] 성우하이텍 FY2025: KAM 섹션 911자
[적재] 성창오토텍 FY2024: KAM 섹션 806자
[적재] 성창오토텍 FY2025: KAM 섹션 812자
[적재] 세동 FY2024: KAM 섹션 512자
[적재] 세동 FY2025: KAM 섹션 515자
[적재] 세원물산 FY2024: KAM 섹션 506자
[적재] 세원물산 FY2025: KAM 섹션 556자
[스킵] 세원정공 FY2024: 사업보고서(12월 결산) 없음
[스킵] 세원정공 FY2025: 사업보고서(12월 결산) 없음
[적재] 스모트로닉 FY2024: KAM 섹션 486자
[적재] 스모트로닉 FY2025: KAM 섹션 498자
[적재] 씨티알모빌리티 FY2024: KAM 섹션 1005자
[적재] 씨티알모빌리티 FY2025: KAM 섹션 1056자
[적재] 아이윈 FY2024: KAM 섹션 654자
[적재] 아이윈 FY2025: KAM 섹션 654자
[적재] 아진산업 FY2024: KAM 섹션 532자
[적재] 아진산업 FY2025: KAM 섹션 1213자
[적재] 아진전자부품 FY2024: KAM 섹션 464자
[적재] 아진전자부품 FY2025: KAM 섹션 470자
[적재] 에스엘 FY2024: KAM 섹션 946자
[적재] 에스엘 FY2025: KAM 섹션 1019자
[적재] 에스엠벡셀 FY2024: KAM 섹션 1115자
[적재] 에스엠벡셀 FY2025: KAM 섹션 970자
[적재] 에스제이엠 FY2024: KAM 섹션 692자
[적재] 에스제이엠 FY2025: KAM 섹션 692자
[적재-KAM없음] 에이팸 FY2024: 핵심감사사항 섹션 못 찾음
[적재-KAM없음] 에이팸 FY2025: 핵심감사사항 섹션 못 찾음
[적재] 에코볼트 FY2024: KAM 섹션 737자
[적재] 에코볼트 FY2025: KAM 섹션 755자
[적재] 에코캡 FY2024: KAM 섹션 971자
[적재] 에코캡 FY2025: KAM 섹션 976자
[스킵] 엠에스오토텍 FY2024: 사업보고서(12월 결산) 없음
[적재] 엠에스오토텍 FY2025: KAM 섹션 645자
[적재] 영화금속 FY2024: KAM 섹션 577자
[적재] 영화금속 FY2025: KAM 섹션 558자
[적재] 오리엔트정공 FY2024: KAM 섹션 914자
[적재] 오리엔트정공 FY2025: KAM 섹션 899자
[스킵] 오스템 FY2024: 사업보고서(12월 결산) 없음
[적재] 오스템 FY2025: KAM 섹션 643자
[적재] 우리산업 FY2024: KAM 섹션 747자
[적재] 우리산업 FY2025: KAM 섹션 643자
[적재] 우리산업홀딩스 FY2024: KAM 섹션 644자
[적재] 우리산업홀딩스 FY2025: KAM 섹션 657자
[적재] 유니켐 FY2024: KAM 섹션 803자
[스킵] 유니켐 FY2025: 사업보고서(12월 결산) 없음
[적재] 유니크 FY2024: KAM 섹션 773자
[적재] 유니크 FY2025: KAM 섹션 784자
[적재] 유성기업 FY2024: KAM 섹션 770자
[스킵] 유성기업 FY2025: 사업보고서(12월 결산) 없음
[적재] 이원컴포텍 FY2024: KAM 섹션 708자
[적재] 이원컴포텍 FY2025: KAM 섹션 856자
[적재] 인팩 FY2024: KAM 섹션 674자
[적재] 인팩 FY2025: KAM 섹션 683자
[적재] 일지테크 FY2024: KAM 섹션 1075자
[적재] 일지테크 FY2025: KAM 섹션 1281자
[스킵] 전우정밀 FY2024: 사업보고서(12월 결산) 없음
[스킵] 전우정밀 FY2025: 사업보고서(12월 결산) 없음
[적재] 지엠비코리아 FY2024: KAM 섹션 832자
[적재] 지엠비코리아 FY2025: KAM 섹션 665자
